City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,Ufa,54.775,56.0375,49.37,79,100,9.1,RU,2022-06-12 00:43:57
244,Ixtapa,20.7,-105.2,83.43,79,40,10.36,MX,2022-06-12 00:43:57
245,Taltal,-25.4,-70.4833,58.62,78,22,3.96,CL,2022-06-12 00:40:20
246,Winsum,53.33,6.5208,56.1,87,28,9.82,NL,2022-06-12 00:43:58
247,Tulum,20.2167,-87.4667,77.63,88,0,5.44,MX,2022-06-12 00:43:58
248,Lebanon,36.2081,-86.2911,84.42,75,16,6.24,US,2022-06-12 00:39:08
249,Narsaq,60.9167,-46.05,50.22,92,100,4.63,GL,2022-06-12 00:43:59
250,Rio Grande,-32.035,-52.0986,46.51,59,6,20.4,BR,2022-06-12 00:43:50
251,Sitka,57.0531,-135.33,51.69,71,75,19.57,US,2022-06-12 00:43:59
252,Vila Do Maio,15.1333,-23.2167,74.19,88,6,10.22,CV,2022-06-12 00:44:00
253,Merritt,50.1123,-120.7942,66.25,36,1,10.31,CA,2022-06-12 00:43:02
254,Hambantota,6.1241,81.1185,77.34,100,40,5.75,LK,2022-06-12 00:44:00
255,Flin Flon,54.7682,-101.865,62.82,53,99,9.66,CA,2022-06-12 00:44:00
256,Harrison,30.4091,-89.0436,86.07,81,75,12.66,US,2022-06-12 00:44:01
257,Payo,-3.7508,103.6372,74.5,94,100,1.43,ID,2022-06-12 00:44:01
258,Haines Junction,60.7522,-137.5108,60.94,38,100,8.3,CA,2022-06-12 00:44:02
259,Srinagar,34.0833,74.8167,62.46,64,32,1.16,IN,2022-06-12 00:42:10
260,Te Anau,-45.4167,167.7167,39.54,99,100,1.45,NZ,2022-06-12 00:44:02
261,Antalaha,-14.9003,50.2788,70.88,74,97,11.12,MG,2022-06-12 00:44:03
262,Ryotsu,38.0833,138.4333,66.27,74,43,13.27,JP,2022-06-12 00:44:03
263,Troitsko-Pechorsk,62.7084,56.1964,44.96,65,100,12.59,RU,2022-06-12 00:44:03
264,Port Shepstone,-30.7414,30.455,62.22,56,0,5.61,ZA,2022-06-12 00:44:04
265,Krasnaya Gorbatka,55.8703,41.7641,48.88,84,13,6.08,RU,2022-06-12 00:44:04
266,The Valley,18.217,-63.0578,82.26,81,71,20.45,AI,2022-06-12 00:40:48
267,Nago,26.5881,127.9761,77.85,94,100,6.89,JP,2022-06-12 00:44:05
268,Gizo,-8.103,156.8419,84.02,65,0,5.01,SB,2022-06-12 00:44:06
269,Grants,35.1473,-107.8514,71.83,35,100,0.0,US,2022-06-12 00:44:06
270,Upata,8.0086,-62.3989,73.18,97,100,4.54,VE,2022-06-12 00:44:06
271,Chapais,49.7834,-74.8492,65.98,63,95,1.66,CA,2022-06-12 00:44:07
272,Fairbanks,64.8378,-147.7164,70.09,33,0,3.44,US,2022-06-12 00:44:07
273,Voi,-3.3945,38.563,65.97,86,7,7.18,KE,2022-06-12 00:44:08
274,Rawson,-43.3002,-65.1023,52.68,53,100,10.8,AR,2022-06-12 00:44:08
275,Yumbel,-37.0833,-72.5667,46.83,75,100,1.99,CL,2022-06-12 00:43:15
276,Raga,8.4596,25.678,71.06,88,100,4.23,SS,2022-06-12 00:45:09
277,Tura,25.5198,90.2201,75.43,97,73,7.7,IN,2022-06-12 00:45:09
278,Ambelon,39.75,22.3667,64.47,100,40,0.0,GR,2022-06-12 00:45:09
279,Tabuk,17.4189,121.4443,83.61,75,72,3.85,PH,2022-06-12 00:45:10
280,Garden City,42.3256,-83.331,75.45,52,100,8.05,US,2022-06-12 00:45:10
281,Mezen,65.8522,44.24,43.52,71,53,3.76,RU,2022-06-12 00:45:11
282,Lasa,46.6166,10.7002,56.35,78,0,4.68,IT,2022-06-12 00:45:11
283,Linjiang,41.8069,126.9078,71.71,62,99,2.53,CN,2022-06-12 00:45:11
284,Les Escoumins,48.1111,-69.0236,52.95,78,34,6.87,CA,2022-06-12 00:45:12
285,Orlik,52.5178,99.825,64.69,36,35,3.2,RU,2022-06-12 00:45:12
286,Najran,17.4924,44.1277,77.65,15,5,2.66,SA,2022-06-12 00:45:13
287,Camacha,33.0833,-16.3333,63.82,77,40,12.66,PT,2022-06-12 00:45:13
